dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.092557,4.638217,0.000022,0.002193,0.109642,5.482080,3.144433
0.020000,5.092567,4.638217,0.000031,0.000463,-0.086468,-9.805484,3.144396
0.020000,5.092587,4.638217,0.000052,0.001043,0.028969,5.771863,3.144313
0.020000,5.092625,4.638217,0.000089,0.001854,0.040563,0.579701,3.144165
0.020000,5.092682,4.638217,0.000147,0.002897,0.052167,0.580188,3.143933
0.020000,5.092766,4.638217,0.000231,0.004173,0.063787,0.580984,3.143599
0.020000,5.092880,4.638218,0.000344,0.005682,0.075430,0.582165,3.143144
0.020000,5.093028,4.638218,0.000493,0.007424,0.087106,0.583806,3.142551
0.020000,5.093216,4.638218,0.000681,0.009400,0.098826,0.585978,3.141798
0.020000,5.091740,4.638218,0.002156,0.073785,3.219234,156.020419,3.140869
0.020000,5.089368,4.638221,0.004528,0.118604,2.240934,-48.915026,3.139743
0.020000,5.086547,4.638229,0.007350,0.141067,1.123169,-55.888202,3.138401
0.020000,5.083235,4.638242,0.010662,0.165597,1.226509,5.166975,3.136822
0.020000,5.079396,4.638264,0.014501,0.191955,1.317894,4.569264,3.134987
0.020000,5.074991,4.638297,0.018906,0.220236,1.414051,4.807841,3.132875
0.020000,5.069980,4.638347,0.023917,0.250561,1.516219,5.108413,3.130463
0.020000,5.064326,4.638418,0.029571,0.282731,1.608498,4.613908,3.127732
0.020000,5.057991,4.638515,0.035907,0.316793,1.703135,4.731854,3.124658
0.020000,5.050936,4.638647,0.042963,0.352796,1.800140,4.850271,3.121217
0.020000,5.043124,4.638821,0.050778,0.390726,1.896515,4.818748,3.117386
0.020000,5.034519,4.639048,0.059386,0.430405,1.983950,4.371741,3.113140
0.020000,5.025081,4.639338,0.068828,0.472116,2.085534,5.079208,3.108453
0.020000,5.014777,4.639706,0.079139,0.515546,2.171517,4.299154,3.103298
0.020000,5.003568,4.640168,0.090357,0.560882,2.266784,4.763325,3.097647
0.020000,4.991421,4.640739,0.102518,0.608064,2.359093,4.615449,3.091470
0.020000,4.978299,4.641442,0.115659,0.657027,2.448165,4.453615,3.084737
0.020000,4.964170,4.642298,0.129813,0.707718,2.534552,4.319376,3.077417
0.020000,4.949018,4.643332,0.145001,0.759391,2.583621,2.453431,3.069485
0.020000,4.932850,4.644569,0.161216,0.810748,2.567844,-0.788838,3.060928
0.020000,4.915674,4.646037,0.178455,0.861953,2.560258,-0.379311,3.051733
0.020000,4.897496,4.647765,0.196714,0.912956,2.550185,-0.503639,3.041884
0.020000,4.878325,4.649785,0.215991,0.963873,2.545816,-0.218476,3.031365
0.020000,4.858172,4.652129,0.236281,1.014464,2.529559,-0.812813,3.020165
0.020000,4.837044,4.654835,0.257580,1.064987,2.526168,-0.169547,3.008266
0.020000,4.814955,4.657939,0.279886,1.115308,2.516033,-0.506792,2.995656
0.020000,4.791916,4.661482,0.303196,1.165489,2.509041,-0.349603,2.982321
0.020000,4.767943,4.665506,0.327505,1.215419,2.496494,-0.627346,2.968251
0.020000,4.743048,4.670055,0.352812,1.265377,2.497927,0.071647,2.953435
0.020000,4.717249,4.675175,0.379115,1.315140,2.488165,-0.488080,2.937866
0.020000,4.690562,4.680916,0.406412,1.364855,2.485702,-0.123136,2.921541
0.020000,4.663005,4.687327,0.434705,1.414646,2.489599,0.194818,2.904457
0.020000,4.634600,4.694460,0.463992,1.464363,2.485818,-0.189044,2.886618
0.020000,4.605366,4.702370,0.494277,1.514237,2.493733,0.395771,2.868032
0.020000,4.575327,4.711113,0.525563,1.564285,2.502357,0.431173,2.848712
0.020000,4.544506,4.720745,0.557853,1.614535,2.512535,0.508913,2.828678
0.020000,4.512928,4.731324,0.591157,1.665171,2.531801,0.963297,2.807957
0.020000,4.480619,4.742910,0.625480,1.716181,2.550484,0.934180,2.786581
0.020000,4.447606,4.755563,0.660835,1.767716,2.576743,1.312909,2.764592
0.020000,4.413918,4.769344,0.697232,1.819871,2.607743,1.549997,2.742039
0.020000,4.379584,4.784311,0.734687,1.872743,2.643594,1.792575,2.718979
0.020000,4.344634,4.800526,0.773216,1.926431,2.684424,2.041482,2.695478
0.020000,4.309098,4.818047,0.812836,1.981013,2.729115,2.234562,2.671608
0.020000,4.273008,4.836932,0.853568,2.036618,2.780209,2.554726,2.647448
0.020000,4.236397,4.857237,0.895433,2.093259,2.832049,2.591986,2.623085
0.020000,4.199295,4.879015,0.938455,2.151053,2.889736,2.884362,2.598608
0.020000,4.161736,4.902317,0.982655,2.210028,2.948737,2.950049,2.574113
0.020000,4.123751,4.927191,1.028059,2.270206,3.008877,3.006986,2.549695
0.020000,4.085372,4.953678,1.074691,2.331603,3.069848,3.048545,2.525453
0.020000,4.046645,4.981808,1.122556,2.393237,3.081720,0.593612,2.501493
0.020000,4.007630,5.011588,1.171638,2.454079,3.042080,-1.982023,2.477927
0.020000,3.968385,5.043020,1.221918,2.514046,2.998353,-2.186319,2.454860
0.020000,3.928961,5.076095,1.273379,2.573037,2.949586,-2.438382,2.432390
0.020000,3.889409,5.110799,1.325998,2.630955,2.895895,-2.684549,2.410606
0.020000,3.849772,5.147108,1.379751,2.687643,2.834376,-3.075949,2.389585
0.020000,3.810091,5.184990,1.434611,2.743016,2.768680,-3.284782,2.369398
0.020000,3.770400,5.224408,1.490550,2.796928,2.695592,-3.654409,2.350102
0.020000,3.730730,5.265317,1.547535,2.849260,2.616575,-3.950852,2.331747
0.020000,3.691105,5.307668,1.605533,2.899900,2.532013,-4.228082,2.314373
0.020000,3.651544,5.351406,1.664508,2.948747,2.442355,-4.482890,2.298012
0.020000,3.612063,5.396472,1.724422,2.995709,2.348099,-4.712829,2.282688
0.020000,3.572670,5.442802,1.785236,3.040677,2.248424,-4.983744,2.268419
0.020000,3.533369,5.490331,1.846908,3.083629,2.147560,-5.043203,2.255216
0.020000,3.494161,5.538990,1.909398,3.124472,2.042155,-5.270233,2.243088
0.020000,3.455041,5.588707,1.972661,3.163166,1.934694,-5.373048,2.232038
0.020000,3.416000,5.639412,2.036655,3.199679,1.825688,-5.450312,2.222067
0.020000,3.377026,5.691031,2.101335,3.233987,1.715396,-5.514625,2.213173
0.020000,3.338102,5.743488,2.166656,3.266053,1.603287,-5.605445,2.205354
0.020000,3.299208,5.796709,2.232574,3.295897,1.492180,-5.555335,2.198606
0.020000,3.260324,5.850618,2.299043,3.323490,1.379646,-5.626702,2.192924
0.020000,3.221423,5.905140,2.366020,3.348837,1.267348,-5.614920,2.188307
0.020000,3.182478,5.960197,2.433459,3.371956,1.155988,-5.567995,2.184749
0.020000,3.143460,6.015714,2.501316,3.392848,1.044581,-5.570326,2.182248
0.020000,3.104337,6.071614,2.569547,3.411523,0.933758,-5.541141,2.180802
0.020000,3.065077,6.127820,2.638107,3.428002,0.823935,-5.491139,2.180412
0.020000,3.025657,6.184238,2.706931,3.441217,0.660747,-8.159423,2.181077
0.020000,2.986056,6.240771,2.775954,3.451166,0.497449,-8.164882,2.182798
0.020000,2.946239,6.297342,2.845133,3.458940,0.388708,-5.437073,2.185577
0.020000,2.906170,6.353872,2.914424,3.464554,0.280720,-5.399396,2.189415
0.020000,2.865814,6.410284,2.983784,3.468014,0.172965,-5.387747,2.194316
0.020000,2.825136,6.466496,3.053171,3.469329,0.065775,-5.359497,2.200285
0.020000,2.784104,6.522430,3.122542,3.468523,-0.040283,-5.302922,2.207326
0.020000,2.742683,6.578004,3.191853,3.465569,-0.147710,-5.371329,2.215443
0.020000,2.700846,6.633135,3.261062,3.460469,-0.255027,-5.365860,2.224641
0.020000,2.658561,6.687743,3.330127,3.453242,-0.361349,-5.316071,2.234923
0.020000,2.615805,6.741742,3.399003,3.443809,-0.471638,-5.514492,2.246291
0.020000,2.572556,6.795047,3.467647,3.432204,-0.580235,-5.429829,2.258743
0.020000,2.528795,6.847573,3.536014,3.418327,-0.693844,-5.680445,2.272277
0.020000,2.484509,6.899233,3.604058,3.402199,-0.806400,-5.627794,2.286884
0.020000,2.439692,6.949940,3.671732,3.383687,-0.925625,-5.961280,2.302552
0.020000,2.394341,6.999605,3.738987,3.362756,-1.046558,-6.046635,2.319262
0.020000,2.348465,7.048141,3.805773,3.339323,-1.171655,-6.254872,2.336989
0.020000,2.302076,7.095461,3.872039,3.313283,-1.302005,-6.517459,2.355699
0.020000,2.255199,7.141480,3.937729,3.284519,-1.438165,-6.807998,2.375351
0.020000,2.207866,7.186114,4.002788,3.252933,-1.579290,-7.056293,2.395894
0.020000,2.160120,7.229283,4.067156,3.218379,-1.727723,-7.421616,2.417265
0.020000,2.112016,7.270911,4.130770,3.180735,-1.882210,-7.724379,2.439395
0.020000,2.063619,7.310926,4.193568,3.139900,-2.041736,-7.976274,2.462201
0.020000,2.015003,7.349266,4.255483,3.095715,-2.209255,-8.375945,2.485592
0.020000,1.966257,7.385874,4.316444,3.048088,-2.381341,-8.604307,2.509468
0.020000,1.917476,7.420703,4.376383,2.996917,-2.558534,-8.859641,2.533720
0.020000,1.868768,7.453717,4.435225,2.942125,-2.739620,-9.054324,2.558234
0.020000,1.820227,7.484905,4.492922,2.884852,-2.863663,-6.202149,2.582902
0.020000,1.771930,7.514275,4.549449,2.826322,-2.926484,-3.141065,2.607624
0.020000,1.723958,7.541848,4.604780,2.766571,-2.987573,-3.054450,2.632301
0.020000,1.676393,7.567651,4.658893,2.705641,-3.046489,-2.945758,2.656840
0.020000,1.629318,7.591719,4.711764,2.643536,-3.105218,-2.936483,2.681149
0.020000,1.582813,7.614096,4.763372,2.580405,-3.156555,-2.566815,2.705143
0.020000,1.536958,7.634831,4.813697,2.516270,-3.206762,-2.510349,2.728742
0.020000,1.491828,7.653980,4.862722,2.451249,-3.251068,-2.215308,2.751875
0.020000,1.447495,7.671606,4.910430,2.385414,-3.291728,-2.033010,2.774478
0.020000,1.404026,7.687775,4.956809,2.318910,-3.325189,-1.673061,2.796496
0.020000,1.361486,7.702556,5.001844,2.251777,-3.356678,-1.574454,2.817880
0.020000,1.319930,7.716021,5.045527,2.184161,-3.380771,-1.204633,2.838593
0.020000,1.279409,7.728245,5.087852,2.116212,-3.397450,-0.833967,2.858602
0.020000,1.239972,7.739302,5.128809,2.047865,-3.417387,-0.996822,2.877883
0.020000,1.201659,7.749266,5.168396,1.979362,-3.425137,-0.387504,2.896418
0.020000,1.164508,7.758211,5.206609,1.910669,-3.434641,-0.475227,2.914196
0.020000,1.128548,7.766210,5.243448,1.841937,-3.436614,-0.098612,2.931211
0.020000,1.093807,7.773333,5.278912,1.773167,-3.438498,-0.094235,2.947461
0.020000,1.060309,7.779650,5.313001,1.704449,-3.435882,0.130804,2.962950
0.020000,1.028071,7.785226,5.345717,1.635807,-3.432110,0.188615,2.977682
0.020000,0.997111,7.790124,5.377062,1.567251,-3.427830,0.213976,2.991666
0.020000,0.967442,7.794405,5.407039,1.498844,-3.420340,0.374539,3.004914
0.020000,0.939074,7.798125,5.435650,1.430550,-3.414671,0.283443,3.017437
0.020000,0.912014,7.801340,5.462900,1.362505,-3.402282,0.619411,3.029249
0.020000,0.886270,7.804099,5.488791,1.294551,-3.397695,0.229396,3.040365
0.020000,0.861846,7.806451,5.513328,1.226858,-3.384632,0.653102,3.050801
0.020000,0.838745,7.808440,5.536514,1.159311,-3.377347,0.364291,3.060571
0.020000,0.816969,7.810108,5.558354,1.091999,-3.365606,0.587038,3.069690
0.020000,0.796519,7.811494,5.578851,1.024855,-3.357210,0.419775,3.078175
0.020000,0.777394,7.812633,5.598010,0.957952,-3.345136,0.603711,3.086039
0.020000,0.759597,7.813558,5.615831,0.891032,-3.345999,-0.043141,3.093295
0.020000,0.743100,7.814300,5.632345,0.825704,-3.266432,3.978362,3.099969
0.020000,0.727854,7.814888,5.647602,0.762842,-3.143076,6.167793,3.106091
0.020000,0.713811,7.815348,5.661652,0.702521,-3.016031,6.352229,3.111691
0.020000,0.700920,7.815700,5.674548,0.644787,-2.886710,6.466086,3.116799
0.020000,0.689130,7.815965,5.686341,0.589679,-2.755399,6.565549,3.121444
0.020000,0.678393,7.816159,5.697080,0.536949,-2.636506,5.944611,3.125651
0.020000,0.668655,7.816296,5.706819,0.486915,-2.501728,6.738941,3.129447
0.020000,0.659872,7.816387,5.715603,0.439203,-2.385567,5.808049,3.132857
0.020000,0.651991,7.816444,5.723484,0.394059,-2.257185,6.419093,3.135903
0.020000,0.644962,7.816475,5.730513,0.351429,-2.131535,6.282469,3.138610
0.020000,0.638737,7.816486,5.736738,0.311253,-2.008771,6.138229,3.141000
0.020000,0.633268,7.816483,5.742206,0.273434,-1.890987,5.889207,3.143093
0.020000,0.628504,7.816472,5.746971,0.238225,-1.760410,6.528851,3.144912
0.020000,0.624395,7.816455,5.751080,0.205456,-1.638464,6.097289,3.146478
0.020000,0.620895,7.816435,5.754580,0.174985,-1.523535,5.746441,3.147809
0.020000,0.617953,7.816416,5.757522,0.147113,-1.393641,6.494690,3.148926
0.020000,0.615520,7.816397,5.759955,0.121642,-1.273513,6.006415,3.149848
0.020000,0.613551,7.816380,5.761924,0.098467,-1.158792,5.736044,3.150594
0.020000,0.611994,7.816365,5.763482,0.077876,-1.029532,6.463020,3.151183
0.020000,0.610800,7.816353,5.764675,0.059687,-0.909462,6.003492,3.151635
0.020000,0.609922,7.816344,5.765553,0.043906,-0.789025,6.021839,3.151967
0.020000,0.609311,7.816338,5.766164,0.030540,-0.668311,6.035691,3.152197
0.020000,0.608919,7.816334,5.766556,0.019592,-0.547398,6.045666,3.152345
0.020000,0.608698,7.816331,5.766777,0.011065,-0.426350,6.052396,3.152429
0.020000,0.608599,7.816330,5.766877,0.004961,-0.305220,6.056520,3.152466
0.020000,0.608573,7.816330,5.766902,0.001280,-0.184046,6.058683,3.152476
0.020000,0.608573,7.816330,5.766903,0.000023,-0.062855,6.059533,3.152476
0.020000,0.608573,7.816330,5.766903,0.000000,-0.001129,3.086308,3.152476
